"","Cluster 1","Cluster 2","Cluster 3","Cluster 4"
"Cluster 1",0.332,0.299,0.356,0.314
"Cluster 2",0.299,0.262,0.324,0.291
"Cluster 3",0.356,0.324,0,0.366
"Cluster 4",0.314,0.291,0.366,0.314
