"No_of_CP","n_clusters","Subjects"
1,4,"(1, 22, 11, 5, 7) (2, 6, 9, 17, 18, 19, 21, 12, 3, 14, 16, 4, 8) (10) (13, 20, 15)"
2,3,"(1, 9, 21, 11, 2, 6, 7, 16, 3, 13, 17, 5, 19, 20, 22, 12, 18, 4, 10) (8, 14) (15)"
3,3,"(1, 2, 15, 19, 14, 4, 17, 8, 12, 7, 16, 3, 5) (6, 21, 20, 9, 22, 11, 13) (10, 18)"
