"Change_point","Cluster","n","Mean","Std"
1,1,7,0.342571428571429,0.0890764786440228
1,2,10,0.5285,0.0504452398370969
1,3,2,0.924,0.0183847763108503
1,4,3,0.0593333333333333,0.00901849950564579
2,1,16,0.4685625,0.0731172289318097
2,2,4,0.8085,0.0683934694738223
2,3,2,0.2045,0.109601551083915
3,1,11,0.541818181818182,0.103666598460467
3,2,8,0.193125,0.115610723056792
3,3,3,0.871,0.0389743505398102
